oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000297,2491.32765689057,2709.060052944224,188297.3417721519,79,4,1
E00000298,2240.0,2520.2091809274993,194833.42857142858,105,3,1
E00000299,2178.21782178218,2512.3275719091394,216931.3831775701,107,6,1
E00000300,2450.98039215686,2610.7681840883024,193692.06153846154,65,6,1
E00000301,2037.2914845054102,2354.9385731116236,203998.39743589744,78,4,1
E00000302,2424.430227908835,2785.568379696485,203358.05,100,5,1
E00000303,2163.5912334189998,2338.080275198349,168272.14705882352,68,4,1
E00000304,2414.11205073996,2561.522400615878,136029.1,50,4,1
E00000305,1778.20512820513,1809.5245640764767,124857.14285714286,14,3,1
E00000306,2492.42424242424,2724.1435640436434,202671.07142857142,70,5,1
E00000307,2279.22077922078,2585.74563107325,201407.9411764706,68,5,1
E00000308,2200.0,2431.1573478492037,204102.2891566265,83,5,1
E00000309,1953.125,1880.3351260190454,107100.0,25,7,1
E00000310,2387.38738738739,2482.2769168665445,174214.83850931676,161,8,1
E00000311,2303.185134446285,2570.109136313009,206716.875,128,3,1
E00000312,2249.89388264669,2504.706255198358,196561.32352941178,102,5,1
E00000313,2450.799695354155,2806.2516798780207,210706.79032258064,124,5,1
E00000314,2141.85110663984,2435.2846465491243,184499.41836734695,98,3,1
E00000315,2209.45647370747,2452.5111457748144,177905.0606060606,99,3,1
E00000316,2314.786585365855,2531.1811666004487,189261.4090909091,198,7,1
E00000317,2047.6858345021,2244.323420132965,163261.90476190476,21,4,1
E00000318,2065.10869565217,2319.716254389162,149628.0,35,4,1
E00000319,2324.7970151562,2774.217806983548,204606.0,68,4,1
E00000320,2253.16455696203,2492.3865368178162,185265.48,125,3,1
E00000321,2325.008902178995,2502.6072971270114,188682.67441860464,86,6,1
E00000322,2310.29893165089,2510.255520872905,184306.52777777778,108,5,1
E00000323,2467.00659868026,2619.1064433141573,182616.70212765958,47,4,1
E00000324,2262.75370268788,2514.3363306746587,195489.2105263158,57,5,1
E00000325,2538.7722729248153,2811.472528877943,196865.5487804878,82,4,1
E00000326,2313.16725978648,2468.164940033886,144262.39306358382,173,9,1
E00000327,2021.42857142857,1991.4917314424133,126249.5,40,3,1
E00000328,2974.455199482995,2657.034565970529,257292.12962962964,54,4,1
E00000329,4178.08219178082,3929.898633104886,249093.9019607843,51,5,1
E00000330,3846.15384615385,3210.2547610859706,313181.5909090909,22,3,1
E00000331,2483.69565217391,2607.2273415051986,196113.46315789473,95,4,1
E00000332,2525.24242424242,2639.731298930518,299330.192,125,4,1
E00000333,2661.714284292215,2640.6342674153852,287940.9347826087,92,3,1
E00000334,2848.97025171625,2828.977358581128,331927.3711340206,97,4,1
E00000335,2657.75685321589,2922.1524195104935,318327.3789473684,95,3,1
E00000336,2586.550357694635,2712.9212734353264,291791.462962963,108,5,1
E00000337,2215.6862745098,2366.533449261584,210621.26315789475,95,6,1
E00000338,2797.10144927536,2928.181358170572,359538.55670103093,97,6,1
E00000340,2476.59317426759,2591.149180972752,345618.6440677966,59,5,1
E00000341,2599.4421906693697,2733.518466293516,259394.77906976745,86,5,1
E00000342,2486.48648648649,2415.333861110176,305193.17204301077,93,4,1
E00000343,2812.5,2930.180956992086,320445.1176470588,119,7,1
E00000344,2074.374076488485,2200.827685263604,255487.78703703705,108,5,1
E00000345,2781.8855243608,2851.5027941459775,282454.3090909091,110,4,1
E00000346,2105.26315789474,2036.9345626781326,233066.4126984127,63,5,1
